student_id,course_id,term,grade,attempt
S00164,CSE1010,2026SP,,1
S00029,CSE1010,2026SP,,1
S00007,CSE1010,2026SP,,1
S00071,CSE1010,2026SP,,1
S00063,CSE1010,2026SP,,1
S00058,CSE1010,2026SP,,1
S00036,CSE1010,2026SP,,1
S00027,CSE1010,2026SP,,1
S00140,CSE1010,2026SP,,1
S00023,CSE1010,2026SP,,1
S00152,CSE1010,2026SP,,1
S00109,CSE1010,2026SP,,1
S00009,CSE1010,2026SP,,1
S00008,CSE1010,2026SP,,1
S00024,CSE1010,2026SP,,1
S00056,CSE1010,2026SP,,1
S00060,CSE1010,2026SP,,1
S00130,CSE1010,2026SP,,1
S00155,CSE1010,2026SP,,1
S00178,CSE1010,2026SP,,1
S00144,CSE1010,2026SP,,1
S00051,CSE1010,2026SP,,1
S00172,CSE1010,2026SP,,1
S00108,CSE1010,2026SP,,1
S00057,CSE1010,2026SP,,1
S00115,CSE1010,2026SP,,1
S00151,CSE1010,2026SP,,1
S00072,CSE1010,2026SP,,1
S00002,CSE1010,2026SP,,1
S00041,CSE1010,2026SP,,1
S00169,CSE1010,2026SP,,1
S00088,CSE1010,2026SP,,1
S00153,CSE1010,2026SP,,1
S00040,CSE1010,2026SP,,1
S00056,CSE2050,2026SP,,1
S00087,CSE2050,2026SP,,1
S00027,CSE2050,2026SP,,1
S00024,CSE2050,2026SP,,1
S00098,CSE2050,2026SP,,1
S00025,CSE2050,2026SP,,1
S00092,CSE2050,2026SP,,1
S00089,CSE2050,2026SP,,1
S00155,CSE2050,2026SP,,1
S00068,CSE2050,2026SP,,1
S00012,CSE2050,2026SP,,1
S00118,CSE2050,2026SP,,1
S00138,CSE2050,2026SP,,1
S00032,CSE2050,2026SP,,1
S00097,CSE2050,2026SP,,1
S00021,CSE2050,2026SP,,1
S00142,CSE2050,2026SP,,1
S00076,CSE2050,2026SP,,1
S00161,CSE2050,2026SP,,1
S00159,CSE2050,2026SP,,1
S00093,CSE2050,2026SP,,1
S00148,CSE2050,2026SP,,1
S00050,CSE2050,2026SP,,1
S00018,CSE2050,2026SP,,1
S00170,CSE2050,2026SP,,1
S00059,CSE2050,2026SP,,1
S00075,CSE2050,2026SP,,1
S00165,CSE2050,2026SP,,1
S00060,CSE2050,2026SP,,1
S00026,CSE2050,2026SP,,1
S00176,CSE2050,2026SP,,1
S00072,CSE2050,2026SP,,1
S00117,CSE2050,2026SP,,1
S00094,CSE2050,2026SP,,1
S00042,CSE2050,2026SP,,1
S00095,CSE2102,2026SP,,1
S00091,CSE2102,2026SP,,1
S00054,CSE2102,2026SP,,1
